1|"angle"
2|"c"
3|"curr"
4|"e"
5|"equa"
6|"len"
7|"line"
8|"obj"
9|"objsVol"
10|"sqr"
11|"sqrt"
12|"surf"
13|"temp"
14|"vol"
15|"water"
